PV;CV;SP
15.52;0;25
15.52;0;25
15.52;0;25
15.52;0;25
15.52;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.31;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.86;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.77;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.32;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.69;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;10;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.9;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.17;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.29;0;25
15.37;0;25
15.37;0;25
15.37;0;25
15.37;0;25
15.37;0;25
15.15;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.19;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;0;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.04;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.47;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.94;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.95;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.1;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.41;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.3;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.13;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.7;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.85;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.05;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.62;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.93;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.86;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
15.25;10;25
