PV;CV;SP
82.19;0;25
82.19;0;25
82.2;0;25
82.2;0;25
82.2;0;25
82.2;0;25
82.2;0;25
82.2;0;25
82.21;0;25
82.21;0;25
82.21;0;25
82.21;0;25
82.21;0;25
82.22;0;25
82.22;0;25
82.22;0;25
82.22;0;25
82.22;0;25
82.23;0;25
82.23;0;25
82.23;0;25
82.23;0;25
82.23;0;25
82.24;0;25
82.24;0;25
82.24;0;25
82.24;0;25
82.24;0;25
82.25;0;25
82.25;0;25
82.25;0;25
82.25;0;25
82.25;0;25
82.26;0;25
82.26;0;25
82.26;0;25
82.26;0;25
82.26;0;25
82.27;0;25
82.27;0;25
82.27;0;25
82.27;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.28;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.29;0;25
82.3;0;25
82.3;0;25
82.3;0;25
82.3;0;25
82.3;0;25
82.3;0;25
82.3;0;25
82.3;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;0;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.31;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.33;20;25
82.33;20;25
82.33;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.32;20;25
82.33;20;25
82.33;20;25
82.33;20;25
82.33;20;25
82.33;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.34;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
82.35;20;25
